Designator,Footprint,Quantity,Value,LCSC Part #
C3,0805,1,0.1µ,
D1,LED_0805,1,LED,
"D2, D3",D_SOD-123F_hand_soldering,2,1N4007,
D4,D_SOD-123F_hand_soldering,1,SMF36A,
D5,APC-817-SL,1,PC817B,
J1,Molex_KK-396_A-41791-0003_1x03_P3.96mm_Vertical,1,Conn_01x03_Pin,
J2,Molex_KK-396_A-41791-0002_1x02_P3.96mm_Vertical,1,Conn_01x02_Pin,
J3,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
R1,0805,1,100k,
R2,0805,1,22k,
R3,0805,1,220,
"R4, R7",0805,2,10k,
R5,0805,1,2.2k,
T1,SOT-23_Handsoldering,1,IRLML0040,
T2,TO-252-2,1,2SCR587D3,
