Designator,Mid X,Mid Y,Rotation,Layer
C3,94.996,-41.4235,270.0,top
D1,92.71,-41.4235,90.0,top
D2,92.732,-32.258,180.0,top
D3,90.17,-40.6112,270.0,top
D4,91.564,-53.594,180.0,top
D5,81.788,-40.894,270.0,top
J1,88.9,-24.787,0.0,top
J2,102.213,-39.676,270.0,top
J3,75.692,-34.036,270.0,top
R1,73.93,-37.084,180.0,top
R2,92.71,-37.3755,90.0,top
R3,77.867,-37.084,0.0,top
R4,85.614,-53.594,180.0,top
R5,88.281,-35.052,0.0,top
R7,94.996,-37.3755,90.0,top
T1,73.914,-41.378,90.0,top
T2,90.283,-48.513,0.0,top
