Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D5",D_SOD-123F_hand_soldering,2,1N4007,
D2,SOT-143_Handsoldering,1,BGX50A,
D3,0805,1,LED,
D4,SOT-23_Handsoldering,1,Zener-16V,
"J1, J1_B1",Molex_KK-396_A-41791-0003_1x03_P3.96mm_Vertical,2,24V_SNS,
J2,Molex_KK-396_A-41791-0003_1x03_P3.96mm_Vertical,1,24V,
J3,PinHeader_1x03_P2.54mm_Vertical,1,3V3_OUT,
"R1, R2",0805,2,22k,
R3,0805,1,47k,
"R4, R7",0805,2,10k,
R5,0805,1,3.9k,
R6,0805,1,2.7k,
T1,SOT-223-3_TabPin2,1,BCP5616Q,
U1,APC-817-SL,1,APC-817B-SL,
U2,OPB-616,1,OPB616,
