Designator,Mid X,Mid Y,Rotation,Layer
D1,135.128,-60.176,90.0,top
D2,139.676,-77.216,180.0,top
D3,138.938,-66.049,270.0,top
D4,112.522,-73.3284,90.0,top
D5,115.824,-51.816,270.0,top
J1,127.0,-63.5,90.0,top
J1_B1,113.643,-63.5,270.0,top
J2,139.804,-50.695,0.0,top
J3,155.0416,-62.2808,0.0,top
R1,138.668,-57.912,0.0,top
R2,142.764,-57.912,0.0,top
R3,140.986,-70.866,0.0,top
R4,152.67,-68.2752,0.0,top
R5,112.522,-52.054,270.0,top
R6,100.838,-72.898,90.0,top
R7,103.378,-72.914,90.0,top
T1,105.664,-51.054,0.0,top
U1,146.888,-64.262,270.0,top
U2,102.107999,-63.5,0.0,top
