Designator,Mid X,Mid Y,Rotation,Layer
C1,134.112,-69.8715,270.0,top
C2,134.112,-73.6815,270.0,top
C3,124.9465,-71.882,180.0,top
C4,138.684,-69.8715,270.0,top
D1,115.824,-69.342,180.0,top
D2,187.476,-82.992,0.0,top
D3,191.516,-76.191,270.0,top
J1,114.554,-76.454,90.0,top
J2,138.684,-76.2,0.0,top
J3,187.452,-76.2,180.0,top
R1,131.064,-69.85,180.0,top
R2,123.444,-75.454,90.0,top
R3,131.08,-71.882,180.0,top
R4,128.016,-69.834,270.0,top
R5,124.984,-69.85,180.0,top
R6,136.144,-69.866,270.0,top
R7,123.19,-82.534,90.0,top
R8,187.722,-69.342,0.0,top
T1,127.484,-75.438,0.0,top
T2,131.024,-81.032,0.0,top
